Cycle,Timestamp,Mode,Battery,Fault,X,Y,Direction,Action,Temperature,Humidity
1,20:14:34,ACTIVE,99.84,False,0,0,N,WAKE,50,65
2,20:14:40,ACTIVE,99.52,False,0,0,N,NONE,50,83
3,20:14:45,ACTIVE,99.3,False,0,0,N,NONE,43,80
4,20:14:50,ACTIVE,99.11,False,0,0,N,NONE,21,43
5,20:14:54,ACTIVE,98.88,False,0,0,N,NONE,50,58
6,20:15:00,IDLE,98.58,False,0,0,E,TURN_RIGHT,37,72
7,20:15:03,IDLE,98.14,False,0,0,N,TURN_LEFT,39,72
8,20:15:06,IDLE,97.85,False,0,0,W,TURN_LEFT,27,74
9,20:15:09,IDLE,97.43,False,0,0,N,TURN_RIGHT,42,38
12,20:15:18,IDLE,96.3,False,0,1,N,MOVE_FORWARD,30,73
14,20:15:24,IDLE,95.59,False,0,1,W,TURN_LEFT,26,30
16,20:15:30,IDLE,95.06,False,-1,1,W,MOVE_FORWARD,32,58
17,20:15:33,IDLE,94.84,False,-1,1,S,TURN_LEFT,30,35
18,20:15:36,IDLE,94.44,False,-1,0,S,MOVE_FORWARD,27,49
19,20:15:39,IDLE,94.07,False,-1,-1,S,MOVE_FORWARD,49,71
20,20:15:42,IDLE,93.63,False,-1,-2,S,MOVE_FORWARD,48,67
21,20:15:45,IDLE,93.34,False,-1,-3,S,MOVE_FORWARD,31,80
22,20:15:48,IDLE,93.06,False,-1,-3,W,TURN_RIGHT,41,74
23,20:15:51,IDLE,92.79,False,-1,-3,S,TURN_LEFT,26,86
24,20:15:54,ACTIVE,92.34,False,-1,-3,S,WAKE,48,48
25,20:16:00,ACTIVE,91.97,False,-1,-3,S,STOP,37,78
1,18:40:12,ACTIVE,99.67,False,0,0,N,WAKE,31,72
2,18:40:18,ACTIVE,99.45,False,0,1,N,MOVE_FORWARD,47,35
3,18:40:23,IDLE,99.12,False,0,1,W,TURN_LEFT,49,60
4,18:40:26,IDLE,98.9,False,0,1,S,TURN_LEFT,44,86
5,18:40:29,IDLE,98.74,False,0,0,S,MOVE_FORWARD,21,54
1,17:18:51,ACTIVE,99.7,False,0,0,N,WAKE,42,70
2,17:18:57,ACTIVE,99.34,False,0,0,N,WAKE,22,87
3,17:19:03,ACTIVE,98.94,False,0,0,N,NONE,37,89
4,17:19:10,ACTIVE,98.61,False,0,0,N,NONE,29,75
1,17:19:40,WAITING,99.67,False,0,1,N,MOVE_FORWARD,30,35
2,17:19:46,WAITING,99.39,False,0,1,N,STOP,39,37
3,17:19:53,WAITING,99.2,False,0,1,N,NONE,46,37
4,17:19:58,WAITING,98.79,False,0,1,N,NONE,28,43
